iter	Passed	Remaining
402	12718	18840
403	12750	18810
404	12778	18772
405	12807	18737
406	12832	18697
407	12866	18669
408	12897	18636
409	12926	18601
410	12953	18563
411	12989	18537
412	13018	18503
413	13044	18463
414	13077	18434
415	13105	18398
416	13140	18371
417	13168	18335
418	13189	18288
419	13221	18258
420	13253	18227
421	13281	18191
422	13311	18157
423	13341	18124
424	13373	18093
425	13395	18049
426	13429	18021
427	13464	17994
428	13493	17959
429	13515	17915
430	13540	17876
431	13566	17837
432	13593	17799
433	13617	17759
434	13650	17730
435	13671	17684
436	13689	17636
437	13716	17599
438	13740	17559
439	13766	17520
440	13795	17487
441	13824	17452
442	13860	17427
443	13890	17394
444	13922	17363
445	13959	17339
446	13990	17308
447	14030	17287
448	14059	17253
449	14093	17225
450	14120	17188
451	14155	17162
452	14191	17136
453	14226	17109
454	14262	17084
455	14289	17047
456	14325	17021
457	14351	16984
458	14381	16950
459	14416	16923
460	14443	16887
461	14465	16845
462	14496	16813
463	14525	16779
464	14552	16743
465	14579	16706
466	14609	16674
467	14641	16643
468	14678	16618
469	14710	16588
470	14746	16562
471	14766	16518
472	14800	16489
473	14826	16453
474	14859	16424
475	14890	16391
476	14919	16357
477	14951	16327
478	14985	16299
479	15013	16264
480	15051	16240
481	15106	16234
482	15145	16211
483	15182	16186
484	15210	16151
485	15241	16119
486	15269	16084
487	15300	16052
488	15330	16019
489	15362	15989
490	15392	15956
491	15418	15920
492	15452	15891
493	15481	15857
494	15511	15824
495	15538	15789
496	15579	15767
497	15602	15728
498	15629	15692
499	15658	15658
500	15693	15630
501	15715	15590
502	15748	15560
503	15776	15526
504	15803	15490
505	15836	15461
506	15873	15435
507	15908	15407
508	15948	15384
509	15984	15357
510	16014	15325
511	16048	15296
512	16080	15265
513	16113	15236
514	16145	15204
515	16177	15174
516	16204	15139
517	16233	15105
518	16261	15070
519	16287	15035
520	16317	15001
521	16350	14972
522	16383	14942
523	16411	14908
524	16438	14872
525	16467	14839
526	16501	14810
527	16537	14783
528	16569	14752
529	16601	14722
530	16624	14683
531	16653	14650
532	16682	14617
533	16717	14588
534	16751	14559
535	16783	14528
536	16817	14499
537	16845	14465
538	16873	14431
539	16906	14402
540	16939	14372
541	16971	14341
542	17002	14309
543	17035	14279
544	17070	14251
545	17099	14218
546	17128	14185
547	17161	14154
548	17190	14122
549	17225	14093
550	17251	14057
551	17283	14027
552	17313	13994
553	17344	13963
554	17383	13938
555	17407	13900
556	17433	13865
557	17464	13833
558	17490	13798
559	17522	13767
560	17549	13732
561	17584	13704
562	17619	13676
563	17652	13646
564	17679	13611
565	17712	13581
566	17741	13548
567	17769	13514
568	17792	13477
569	17824	13446
570	17856	13415
571	17882	13380
572	17912	13348
573	17943	13317
574	17978	13288
575	18004	13253
576	18034	13221
577	18068	13191
578	18097	13159
579	18122	13123
580	18151	13090
581	18179	13056
582	18210	13025
583	18239	12992
584	18277	12966
585	18308	12934
586	18339	12903
587	18372	12873
