iter	RMSE
827	99111.68373
828	99099.97851
829	99091.96118
830	99086.39432
831	99081.18385
832	99056.88872
833	99049.35306
834	99024.90241
835	99020.57507
836	98990.01185
837	98966.55227
838	98953.10421
839	98944.63926
840	98934.67489
841	98915.4623
842	98906.44928
843	98906.40722
844	98885.35438
845	98883.06101
846	98873.07372
847	98854.92762
848	98844.22037
849	98831.29672
850	98826.3463
851	98791.93299
852	98791.77454
853	98776.62071
854	98774.96125
855	98767.75906
856	98757.09581
857	98745.12544
858	98734.30911
859	98713.13509
860	98713.10435
861	98705.30643
862	98679.70228
863	98671.80366
864	98662.72956
865	98659.85761
866	98654.02067
867	98649.29004
868	98642.15787
869	98635.02162
870	98633.65772
871	98628.48245
872	98614.08895
873	98607.93122
874	98599.00972
875	98595.88081
876	98592.70002
877	98585.67808
878	98573.74933
879	98563.96895
880	98559.40994
881	98554.80578
882	98544.9195
883	98523.78907
884	98519.98069
885	98503.44034
886	98499.46728
887	98489.46961
888	98479.27616
889	98471.33409
890	98467.23423
891	98455.80979
892	98453.01451
893	98452.99589
894	98433.60381
895	98410.51558
896	98402.58995
897	98390.37648
898	98386.92173
899	98386.51118
900	98368.30059
901	98356.59567
902	98351.36517
903	98350.14167
904	98346.6342
905	98344.92006
906	98335.76649
907	98335.73274
908	98327.4412
909	98323.16298
910	98323.02881
911	98313.53895
912	98305.85309
913	98293.232
914	98290.23594
915	98267.26872
916	98258.54655
917	98244.77211
918	98195.36766
919	98190.5908
920	98185.99171
921	98170.73159
922	98153.88014
923	98136.19172
924	98135.88768
925	98132.34016
926	98127.24961
927	98120.07941
928	98113.62492
929	98101.64124
930	98050.99232
931	98047.63893
932	98046.536
933	98033.40997
934	98032.93774
935	98026.2921
936	98020.42016
937	98013.87096
938	98003.98104
939	97990.97304
940	97976.32242
941	97961.76234
942	97946.16927
943	97942.5488
944	97930.32848
945	97922.71925
946	97909.00854
947	97905.70499
948	97901.05156
949	97894.1299
950	97883.04751
951	97829.38592
952	97809.20893
953	97805.35808
954	97801.53286
955	97786.92953
956	97765.65978
957	97754.23451
958	97751.68951
959	97741.45008
960	97737.73573
961	97731.57912
962	97723.40758
963	97718.012
964	97712.47688
965	97691.17639
966	97683.34841
967	97672.91845
968	97662.51689
969	97654.96937
970	97646.62483
971	97641.87458
972	97631.60957
973	97630.76437
974	97621.08769
975	97603.9679
976	97597.00295
977	97577.11307
978	97574.10483
979	97574.09218
980	97562.39274
981	97557.95256
982	97515.09312
983	97512.33376
984	97509.61252
985	97496.97392
986	97487.05128
987	97453.26764
988	97448.81869
989	97448.02248
990	97436.03492
991	97424.3528
992	97423.24312
993	97414.0067
994	97411.96262
995	97398.42703
996	97391.98797
997	97384.81125
998	97380.30912
999	97375.92866
